ID	CHROM	POS	#hg19
exm-rs1009170	14	92636713
exm-rs1011985	6	29385772
exm-rs10168349	2	46360907
exm-rs10179126	2	165511794
exm-rs10221833	2	165577164
exm-rs10227331	7	157294938
exm-rs1029239	6	30138162
exm-rs1043618	6	31783507
exm-rs10456397	6	31804014
exm-rs10501920	11	99493173
exm-rs10515148	5	71716928
exm-rs10517133	4	45364914
exm-rs10517480	4	60748829
exm-rs1061235	6	29913298
exm-rs10741243	10	132947962
exm-rs10761731	10	65027610
exm-rs10762058	10	68088508
exm-rs1079866	7	41470093
exm-rs10830963	11	92708710
exm-rs10906982	15	84568158
exm-rs10928195	2	144428608
exm-rs10947338	6	32708598
exm-rs10950821	7	20647015
exm-rs11036238	11	5225635
exm-rs11110077	12	100266113
exm-rs11128347	3	73619561
exm-rs11165846	1	97819667
exm-rs1150772	6	30384671
exm-rs1153188	12	55098996
exm-rs11647936	16	84685509
exm-rs1165205	6	25870542
exm-rs11677466	2	232982257
exm-rs11710077	3	38657899
exm-rs1183201	6	25823444
exm-rs11869286	17	37813856
exm-rs11920090	3	170717521
exm-rs11959928	5	39397132
exm-rs11961170	6	29439105
exm-rs11965214	6	30647005
exm-rs12210810	6	118653204
exm-rs12214934	6	32836500
exm-rs12474609	2	141721142
exm-rs12534093	7	23502974
exm-rs12594515	15	45985071
exm-rs12600277	16	58759332
exm-rs1264318	6	30863530
exm-rs1264362	6	30776590
exm-rs1264425	6	30568261
exm-rs1264709	6	30056476
exm-rs1265181	6	31155785
exm-rs12696304	3	169481271
exm-rs12921846	16	6910385
exm-rs12931267	16	89818732
exm-rs12946454	17	43208121
exm-rs12982744	19	2177193
exm-rs13118	6	31827286
exm-rs1398217	18	44752238
exm-rs1406503	7	88560878
exm-rs1463605	12	30113883
exm-rs1491942	12	40620808
exm-rs1497828	1	217527024
exm-rs1501908	5	156398169
exm-rs151222	16	20674492
exm-rs1537415	9	138529722
exm-rs154977	6	32900018
exm-rs1592404	6	29358676
exm-rs1632880	6	29917610
exm-rs1632984	6	29773392
exm-rs16839962	2	156925286
exm-rs16998073	4	81184341
exm-rs17124318	1	63480730
exm-rs17126180	12	52263956
exm-rs17159640	7	112086333
exm-rs172276	6	32959770
exm-rs172629	4	55407762
exm-rs1736998	6	29765716
exm-rs1738475	1	23536891
exm-rs17511102	2	37960613
exm-rs17589290	4	112923237
exm-rs17706989	16	78569957
exm-rs17824933	11	60760612
exm-rs1793004	11	20698929
exm-rs1799908	6	33144243
exm-rs1844437	5	57320954
exm-rs189897	3	37518545
exm-rs1918172	2	156888500
exm-rs194675	6	32905746
exm-rs1951082	14	27260043
exm-rs1970671	18	52863108
exm-rs2021720	6	30449244
exm-rs2022077	6	29361124
exm-rs206018	6	32177880
exm-rs2062375	8	119977792
exm-rs2062377	8	120007420
exm-rs2071285	6	32180431
exm-rs2071465	6	32805470
exm-rs2072915	6	33162082
exm-rs2073149	6	29365423
exm-rs2073716	6	31122997
exm-rs2073717	6	31122126
exm-rs2076522	6	32371179
exm-rs210180	6	33485259
exm-rs216172	17	2126504
exm-rs2228628	6	32088854
exm-rs2235617	20	48554977
exm-rs2239557	14	74551970
exm-rs2239688	6	32054212
exm-rs2243803	18	42956672
exm-rs2244546	6	31435833
exm-rs2253588	6	30899377
exm-rs2254847	6	30933848
exm-rs2281597	1	34359858
exm-rs2284165	6	30160055
exm-rs2285805	6	30042861
exm-rs2294479	6	33098389
exm-rs2326810	6	6612467
exm-rs2338104	12	109895168
exm-rs2360997	14	76812491
exm-rs236918	11	117091609
exm-rs2395153	6	32345595
exm-rs2395449	6	33728755
exm-rs241410	6	32861651
exm-rs2429557	6	30928317
exm-rs2469997	8	120353267
exm-rs2494250	1	159278251
exm-rs2516676	6	30430482
exm-rs2517538	6	31013541
exm-rs2517701	6	29925972
exm-rs2523567	6	31330015
exm-rs2523741	6	30211903
exm-rs2523765	6	29817106
exm-rs2523915	6	30973358
exm-rs2535260	6	29628883
exm-rs2571400	6	29927722
exm-rs2571402	6	29932380
exm-rs259938	6	30008003
exm-rs261334	15	58726744
exm-rs261950	6	30269561
exm-rs2638953	12	28534415
exm-rs2696835	16	86365571
exm-rs2714337	6	7240577
exm-rs2721800	7	24692552
exm-rs2734990	6	29812505
exm-rs2744505	6	33153122
exm-rs2825388	21	20536649
exm-rs2830840	21	28665347
exm-rs2840240	X	65606556
exm-rs2844503	6	31442731
exm-rs2844748	6	30338138
exm-rs2844802	6	29948812
exm-rs2853977	6	31379304
exm-rs2857597	6	31585000
exm-rs2859100	6	32699479
exm-rs29220	6	29589666
exm-rs2970818	12	4606168
exm-rs2989476	1	61059259
exm-rs3097671	6	33047612
exm-rs3116999	6	33097166
exm-rs3121593	6	30002793
exm-rs3128844	6	29459260
exm-rs3128955	6	33021192
exm-rs3129305	6	32959180
exm-rs3130649	6	30803254
exm-rs3130655	6	30823710
exm-rs3131931	6	30945265
exm-rs3134946	6	32145993
exm-rs320209	9	104944755
exm-rs356969	6	29977145
exm-rs3773506	3	142431000
exm-rs3775948	4	9995182
exm-rs3790268	20	19571581
exm-rs3817964	6	32367997
exm-rs3823339	6	29912968
exm-rs3869115	6	31204694
exm-rs389512	6	31947594
exm-rs396960	6	32191581
exm-rs4014195	11	65506822
exm-rs4072910	19	8644031
exm-rs419957	6	29505769
exm-rs4279479	6	30521966
exm-rs4370013	3	2654691
exm-rs4428528	6	32430362
exm-rs4450776	3	111423129
exm-rs4506565	10	114756041
exm-rs463302	6	33244716
exm-rs4638289	11	18285774
exm-rs4639381	6	30766765
exm-rs465223	6	33359716
exm-rs4654925	1	20227723
exm-rs4713305	6	30252836
exm-rs4713422	6	30999902
exm-rs472913	1	61095558
exm-rs4750316	10	6393260
exm-rs4775041	15	58674695
exm-rs4838255	9	119926426
exm-rs4939490	11	60793651
exm-rs4959037	6	29936307
exm-rs4964805	12	104192824
exm-rs4965121	15	98518792
exm-rs5018343	6	32710119
exm-rs546829	4	74956372
exm-rs594442	6	93847884
exm-rs5955415	X	139314056
exm-rs613391	9	22670715
exm-rs6140742	20	8819112
exm-rs615672	6	32574171
exm-rs6457110	6	29933881
exm-rs6457144	6	30063368
exm-rs6467710	7	137203819
exm-rs6498142	16	11081249
exm-rs658087	6	33665020
exm-rs6738028	2	111949327
exm-rs6798928	3	151579873
exm-rs6808138	3	161392576
exm-rs6923504	6	32428186
exm-rs6930052	6	32990481
exm-rs6936428	6	32739174
exm-rs6968865	7	17287269
exm-rs7016880	8	19876746
exm-rs7065696	X	53974054
exm-rs713875	22	30592487
exm-rs7275212	21	39852551
exm-rs7512769	1	196042662
exm-rs7567389	2	127982645
exm-rs766420	X	153554404
exm-rs7687921	4	176859026
exm-rs7702187	5	9332281
exm-rs7746003	6	30842894
exm-rs7746082	6	106435269
exm-rs7759742	6	32381736
exm-rs7944584	11	47336320
exm-rs7979575	12	24278821
exm-rs8030672	15	69059084
exm-rs817858	9	110125811
exm-rs822552	7	148650634
exm-rs874040	4	26108197
exm-rs910050	6	32315654
exm-rs915660	6	31143835
exm-rs920915	15	58688467
exm-rs9258157	6	29688099
exm-rs9261800	6	30376599
exm-rs9262164	6	30717389
exm-rs9267798	6	32044834
exm-rs9267954	6	32213052
exm-rs9268645	6	32408527
exm-rs9274407	6	32632832
exm-rs9275495	6	32673574
exm-rs9295843	6	30281234
exm-rs9303196	17	5907443
exm-rs9306841	Y	21778998
exm-rs9306842	Y	22711460
exm-rs9313296	5	165377699
exm-rs9319321	13	27415673
exm-rs9326246	11	116611733
exm-rs9469058	6	31788050
exm-rs9469063	6	31813576
