ID	CHROM	POS	#hg19
rs10002528	4	76564301
rs10006953	4	100011966
rs10008981	4	115571345
rs10014198	4	46027834
rs1002044	6	29753729
rs10028124	4	129867280
rs10039229	5	130834251
rs10040901	5	80657689
rs1004490	17	19555725
rs1005678	3	50210289
rs1005887	22	31060029
rs10059199	5	115156261
rs10091356	8	16369596
rs10097755	8	55733580
rs10098006	8	65572919
rs1010408	6	29479533
rs10116326	9	94682964
rs10118939	9	95293641
rs10127372	X	36110085
rs1015572	7	139586258
rs10167086	2	227792729
rs1016752	3	183665062
rs1017682	X	74678261
rs1018433	6	32281510
rs10200894	2	228817132
rs10222732	4	88295008
rs10226470	7	113166938
rs10233478	7	73982507
rs10245377	7	2458129
rs10245531	7	75822876
rs1026231	11	3865786
rs10266010	7	99102933
rs1029239	6	30138162
rs10306192	9	125155930
rs10400573	12	46028561
rs10406980	19	44731222
rs10408510	19	38376485
rs10409101	19	10621208
rs10415177	19	34177652
rs10418069	19	15779672
rs10419865	19	10772685
rs1042014	16	28618318
rs1042522	17	7579472
rs1042640	2	234681544
rs1043915	7	99799845
rs10452347	4	49651131
rs1045920	2	55771169
rs10460826	3	119536257
rs10484545	6	29234510
rs10484564	6	32752049
rs10487131	7	95020061
rs10489626	1	67793171
rs10490353	2	45416594
rs10492106	12	8246402
rs10492816	16	72230365
rs10493064	1	35369014
rs1049434	1	113456546
rs10498769	6	46617318
rs1049968	15	74635405
rs10500633	11	4907216
rs1050788	X	153735196
rs1051322	17	1946503
rs10518063	4	70503978
rs10521351	X	71574151
rs1053239	3	9908749
rs1053966	21	38568009
rs1055234	19	54658001
rs1056468	12	5155663
rs1056836	2	38298203
rs1057745	19	39888390
rs1058256	2	70523972
rs1058930	10	96818119
rs1059369	19	18497141
rs1060253	16	87866138
rs1062547	4	187210247
rs1063499	5	40955561
rs1064202	19	47856140
rs1065647	7	44809276
rs1071676	2	113587433
rs10752613	1	153760104
rs10763479	10	59211330
rs10765196	11	88925242
rs10775533	19	39400175
rs10786068	10	94842477
rs10794629	10	125450492
rs10798294	1	171224087
rs10830963	11	92708710
rs10830989	11	92886648
rs10836	1	206670169
rs10838425	11	45169347
rs10842971	12	9303296
rs10853545	18	44475220
rs10875085	1	97885249
rs10882102	10	94466495
rs10882520	10	96799688
rs10894804	11	134247842
rs10896027	11	65420760
rs10896818	11	58491921
rs10902667	1	28062107
rs10935807	3	150257082
rs10947338	6	32708598
rs10964394	9	20028769
rs10975044	9	5302095
rs10976088	9	7174813
rs10995271	10	64438486
rs11021436	11	95853028
rs11022257	11	12255471
rs11029818	11	27083305
rs11045889	12	21389037
rs11053646	12	10313448
rs11057123	12	8231715
rs11066023	12	112219867
rs11070627	15	48471524
rs11070816	15	31406335
rs11075764	16	70513384
rs11076863	16	2897411
rs11080299	17	33089705
rs11094908	X	23281077
rs11103473	9	137287629
rs11109968	12	100042040
rs1113132	11	44253403
rs11150604	16	31037020
rs11165837	1	97759020
rs11165846	1	97819667
rs11170177	12	52966428
rs1117046	6	117136978
rs11175944	12	66256395
rs11185076	1	107796700
rs11187228	10	94721892
rs11187268	10	94831463
rs11202902	10	90693537
rs11206100	1	53568878
rs11210497	1	75165182
rs11218350	11	121452651
rs11247703	1	28203653
rs1125978	Y	15275200
rs1126464	16	89704365
rs11265550	1	161060390
rs1129782	11	2943671
rs1130719	11	838760
rs1133043	7	1133305
rs1143734	18	24495589
rs1144822	X	51070302
rs1147990	1	55182300
rs11516129	9	140339091
